Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
8/17/20,Gonzaga Preparatory School,2/7/20,5000,Name; Full Date of Birth; Other
8/17/20,Phi Kappa Psi Fraternity,2/7/20,677,Name; Full Date of Birth; Other
8/17/20,Colby College,2/7/20,606,Name; Full Date of Birth; Other
8/17/20,Washington State University Foundation,2/7/20,334219,Name; Full Date of Birth
8/16/20,Excelsior College,2/7/20,4069,Name; Full Date of Birth; Student ID Number; Other
8/14/20,Portland Community College Foundation,2/7/20,17908,Name; Financial & Banking Information; Full Date of Birth; Other
8/14/20,St. Joseph School,2/7/20,5142,Name; Full Date of Birth; Other
8/14/20,Washington State Department of Social And Health Services,6/22/20,648,Name; Other
8/14/20,"American Civil Liberties Union, Inc.",2/7/20,86269,Name; Full Date of Birth
8/14/20,ShelterBox USA,2/7/20,778,Name; Full Date of Birth; Other
8/14/20,University of Minnesota Foundation,2/7/20,6460,Name; Full Date of Birth; Other
8/14/20,Bishop Blanchet High School,2/7/20,3162,Name; Full Date of Birth; Other
8/14/20,Denver Dumb Friends League,2/7/20,655,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Biometric Data; Username and Password/Security Question Answers
8/14/20,March of Dimes,2/7/20,446097,Name; Full Date of Birth; Medical Information; Other
8/14/20,Portland Community College Foundation,2/7/20,17908,Name; Financial & Banking Information; Full Date of Birth; Other
8/14/20,St. Joseph School,2/7/20,5142,Name; Full Date of Birth; Other
8/14/20,Washington State Department of Social And Health Services,6/22/20,648,Name; Other
8/14/20,"American Civil Liberties Union, Inc.",2/7/20,86269,Name; Full Date of Birth
8/14/20,Boston University,2/7/20,7067,Name; Full Date of Birth
8/14/20,EMILY's List,2/7/20,9325,Name; Financial & Banking Information; Full Date of Birth; Other
8/14/20,Metropolitan State University Denver Foundation,2/7/20,1235,Name; Full Date of Birth
8/14/20,Save the Children,2/7/20,47465,Name; Financial & Banking Information; Full Date of Birth; Other
8/14/20,The Greater Boston Food Bank,2/7/20,40,Name; Full Date of Birth; Other
8/13/20,"Hearing, Speech & Deaf Center",2/7/20,8441,Name; Full Date of Birth
8/12/20,Northeastern University,2/7/20,2602,Name; Full Date of Birth; Other
8/12/20,The University of Florida,2/7/20,5075,Name; Full Date of Birth; Medical Information; Other
8/12/20,The Food Project,2/7/20,6,Name; Full Date of Birth; Other
8/12/20,Mt. Baker Planned Parenthood,2/7/20,2367,Name; Full Date of Birth; Other
8/11/20,Planned Parenthood of Tennessee and North Mississippi,2/7/20,12,Name; Full Date of Birth; Other
8/11/20,The Evergreen State College Foundation,2/7/20,40549,Name; Full Date of Birth; Student ID Number; Other
8/11/20,The Evergreen State College,2/7/20,40549,Name; Full Date of Birth; Student ID Number; Other
8/10/20,"Dynasplint Systems, Inc.",5/16/20,1364,Name; Full Date of Birth; Medical Information; Other
8/10/20,Heritage University,2/7/20,7803,Name; Full Date of Birth
8/10/20,Wisconsin Evangelical Lutheran Synod,2/7/20,867,Name; Social Security Number; Full Date of Birth; Other
8/9/20,Planned Parenthood of the Rocky Mountains,2/7/20,526,Name; Full Date of Birth; Other
8/7/20,Pacific Northwest University of Health Sciences,2/7/20,1122,Name; Full Date of Birth; Student ID Number
8/5/20,Cancer Research Institute,2/7/20,1312,Name; Full Date of Birth; Other
8/4/20,"Scholarship America, Inc.",,2620,Name; Full Date of Birth; Student ID Number
8/3/20,"Americares Foundation, Inc.",2/7/20,2444,Name; Full Date of Birth; Other
8/3/20,"Würkforce, Inc.",11/22/19,527,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/31/20,Auburn University,2/7/20,1294,Name; Full Date of Birth
7/31/20,George W. Bush Presidential Center,2/7/20,6797,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
7/28/20,"Front Rush, LLC",1/18/16,1982,Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Student ID Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
7/28/20,French American School of Puget Sound,2/7/20,3172,Name; Full Date of Birth; Other
7/27/20,CK-12 Foundation,,5017,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
7/24/20,Ply Gem Residential Solutions,7/26/19,2841,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
7/24/20,City of Redmond,,2851,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
7/24/20,Entercom Communications Corp.,9/18/19,2730,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
7/21/20,City Ministries,2/11/20,533,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Email Address and Password/Security Question Answers
7/16/20,"Gonzales, Gonzales, & Gonzales Immigration Law Offices",5/28/20,1098,Name; Social Security Number; Financial & Banking Information; Passport Number; Other
7/14/20,"Merani Hospitality, Inc.",2/16/17,Unknown,Name; Financial & Banking Information
7/10/20,Morgan Stanley,,401246,Name; Social Security Number; Full Date of Birth; Passport Number; Other
7/10/20,"Fetch Rewards, Inc.",6/6/20,128598,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
7/9/20,"Collabera, Inc.",5/24/20,Unknown,Name; Social Security Number; Full Date of Birth; Passport Number; Other
7/9/20,Boeing Emlpoyees' Credit Union,4/1/20,4883,Name; Financial & Banking Information
7/8/20,"Claire's Stores, Inc.",4/7/20,1166,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
7/7/20,Federal Home Loan Mortgage Corporation (Freddie Mac),,596,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
7/6/20,AARP.org,6/6/20,1456,Name; Full Date of Birth; Other
6/25/20,"BlockFi, Inc.",5/14/20,696,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
6/24/20,Dr. Sid Siahpush,5/7/20,1,Name; Medical Information; Other
6/16/20,Providence Health Plan,5/1/19,3324,Name; Full Date of Birth; Other
6/10/20,"Zoosk, Inc.",1/12/20,115158,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
6/3/20,Bombas LLC,11/11/16,2313,Name; Financial & Banking Information; Other
5/29/20,Swedish Health Services,12/18/19,12573,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers; Other
5/27/20,"Car Wash Partners, Inc.",10/30/19,805,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
5/27/20,"Minted, LLC",5/6/20,68900,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
5/22/20,"Mathway, LLC",,Unknown,Email Address and Password/Security Question Answers
5/21/20,Capital Accounting & Tax,,1277,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
5/11/20,Magellan Health Inc.,4/6/20,5119,Name; Social Security Number; Username and Password/Security Question Answers; Other
5/7/20,"Principal Financial Services, Inc.",11/23/19,583,Name; Social Security Number; Full Date of Birth
5/7/20,Atria Wealth Solutions,12/3/19,574,Name; Social Security Number; Full Date of Birth
4/20/20,"Kandy Pens, Inc.",3/7/19,1112,Name; Financial & Banking Information
4/20/20,"Volusion, LLC",9/7/19,14111,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
4/17/20,Ambry Genetics Corporation,1/22/20,2152,Name; Social Security Number; Medical Information
4/15/20,"Applications Software Technology, LLC",3/9/20,Unknown,Other
4/1/20,Northshore Utility District,2/12/20,483,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
3/16/20,"Avalon Health Care Management, Inc.",,1861,Name; Social Security Number; Medical Information
3/11/20,Washington State Patrol,,16,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
3/10/20,Wichita State University,12/3/19,2649,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers
3/10/20,"Woods & Woods, LLC",,480,Name; Social Security Number; Full Date of Birth; Medical Information; Other
3/6/20,Torrance Memorial Medical Center,6/20/19,1,Name; Medical Information
3/2/20,Carnival Corporation & PLC,4/11/19,11346,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Medical Information; Other
2/27/20,Railworks Corporation,,1286,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
2/25/20,AFTRA Retirement Fund,10/24/19,8803,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
2/14/20,Aveanna Healthcare,7/9/19,2444,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
2/14/20,Smile Surfers,8/19/19,532,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
1/24/20,"Oostra Rouw & Associates, Inc. (ORA, Inc.)",12/26/19,2376,Name; Social Security Number; Other
1/20/20,"The UPS Store, Inc.",9/29/19,963,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
1/17/20,"City of Sioux City, Iowa",8/26/19,Unknown,Name; Financial & Banking Information; Other
1/15/20,"Hanna Andersson, LLC",9/16/19,8816,Name; Financial & Banking Information; Other
12/31/19,Evolucion Innovations Inc. (evo.com),11/8/19,4899,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
12/31/19,Landry's Inc.,1/18/19,Unknown,Name; Financial & Banking Information
12/19/19,Vimly Benefits Solution,8/16/19,91807,Name; Social Security Number; Full Date of Birth; Other
12/13/19,"Jambav, Inc.",,55092,Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
11/29/19,Choice Hotels International Inc.,6/1/15,1684,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
11/27/19,Washington State Employees Credit Union,2/1/17,2355,Other
11/26/19,"The UPS Store, Inc.",10/11/19,506,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
11/20/19,ARINC Incorporated (Collins Aerospace),10/17/19,6,Name; Social Security Number; Other
11/20/19,Cadence Aerospace,10/24/19,1392,Other
11/15/19,City of Lacey,8/27/19,6209,Name; Financial & Banking Information
11/14/19,"Green Roads of Florida, LLC",7/9/19,540,Name; Financial & Banking Information
11/14/19,Macy's Inc.,10/7/19,3810,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
11/13/19,"Solara Medical Supplies, LLC",4/2/19,138,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Health Insurance Policy or ID Number
11/8/19,First Aid Beauty Limited,4/15/19,663,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
10/16/19,"Neutraceutical Wellness, Inc",,518,Name; Financial & Banking Information; Other
10/15/19,"Eye Buy Direct, Inc.",9/1/18,17031,Name; Financial & Banking Information; Medical Information; Email Address and Password/Security Question Answers; Other
10/10/19,Calibre CPA Group,3/11/19,983,Name; Social Security Number; Financial & Banking Information
10/3/19,Toyota Financial Services,9/4/19,2352,Name; Other
9/26/19,DoorDash Inc,5/4/19,2243,Name; Driver's License or Washington ID Card Number; Email Address and Password/Security Question Answers; Other
9/24/19,"Majoris Health Systems, Inc.",,516,Name; Social Security Number; Full Date of Birth; Other
9/13/19,Amateur Athletic Union,10/1/18,12200,Name; Financial & Banking Information; Other
9/12/19,Peoples Injury Network Northwest,4/22/19,12502,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information; Other
9/9/19,The Union Labor Life Insurance Company,4/1/19,615,Name; Social Security Number; Full Date of Birth; Other
9/4/19,"CafePress, Inc.",2/19/19,5863,Name; Social Security Number; Email Address and Password/Security Question Answers; Other
8/26/19,"Creation Entertainment, Inc.",2/1/18,2467,Name; Financial & Banking Information
8/16/19,Regence,7/25/19,642,Name; Social Security Number
8/14/19,Grays Harbor Community Hospital,6/15/19,88000,Name; Social Security Number; Full Date of Birth; Medical Information; Other
7/29/19,"Trusted Tours & Attractions, LLC",3/24/19,706,Name; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
7/27/19,Community Psychiatric Clinic,3/12/19,6600,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
7/26/19,Sark Technologies LLC,9/23/18,762,Name; Financial & Banking Information; Other
7/24/19,"Laboratory Medicine Consultants, LTD",3/21/19,684,Name; Full Date of Birth; Medical Information; Other
7/15/19,"Clinical Pathology Laboratories, Inc.",3/21/19,1155,Name; Full Date of Birth; Medical Information; Other
7/15/19,Northwood Inc.,5/3/19,1185,Name; Social Security Number
7/13/19,Laboratory Corporation of America Holdings (LabCorp),8/1/18,18330,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/9/19,Sprint Corporation,,596,Name; Other
7/3/19,Riggs Wealth Management,6/14/19,1205,Name; Social Security Number; Financial & Banking Information
7/2/19,Backcountry Edge,,566,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
6/21/19,Dominion Dental Services Inc.,8/25/10,34455,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
6/7/19,Princess Polly Group Pty Ltd,11/1/18,2290,Name; Financial & Banking Information; Username and Password/Security Question Answers
6/7/19,Darwin's Natural Pet Products,9/27/16,1787,Name; Financial & Banking Information
6/6/19,Acrisure LLC,,1295,Name; Social Security Number; Driver's License or Washington ID Card Number
6/3/19,Retrieval Masters Creditors Bureau Inc.,8/1/18,33480,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Medical Information
6/3/19,Washington Department of Health,,1336,Name; Social Security Number; Medical Information
5/28/19,Mediant Communications Inc.,4/1/19,6306,Name; Social Security Number; Financial & Banking Information; Other
5/24/19,"Drury Hotels Company, LLC",12/29/17,Unknown,Name; Financial & Banking Information; Other
5/24/19,National Wildlife Federation,1/3/19,1564,Name; Financial & Banking Information; Other
5/22/19,Georgia Institute of Technology,12/14/18,8577,Name; Social Security Number; Full Date of Birth; Other
5/21/19,Service Linen Supply,5/14/19,1210,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
5/10/19,Oklahoma Department of Securities,,2793,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
5/9/19,Sage Advisors LLC,2/12/19,1026,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
4/26/19,"Lancaster Archery Supply, Inc.",7/4/18,1151,Name; Financial & Banking Information
4/26/19,Port of Seattle,,3357,Name; Social Security Number; Driver's License or Washington ID Card Number
4/23/19,Seattle University,3/26/19,2064,Name; Social Security Number
4/22/19,Area Agency on Aging and Disabilities of Southwest Washington,1/15/19,7000,Name; Other
4/15/19,Housing Authority of Thurston County,3/13/19,25357,Name; Social Security Number
4/5/19,Archbright,,1568,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information; Other
4/5/19,AeroGrow International Inc.,10/29/18,667,Name; Financial & Banking Information
4/3/19,Jobscience Inc.,5/8/18,1787,Name; Social Security Number; Driver's License or Washington ID Card Number; Username and Password/Security Question Answers; Other
4/2/19,New Bit Ventures Ltd. (Coinmama.com),12/1/18,1221,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Other
4/2/19,"Key West Hotels, LLC",2/7/18,Unknown,Name; Other
3/29/19,Earl Enterprises,5/23/18,Unknown,Name; Other
3/28/19,"HealthMarkets Insurance Agency, Inc.",2/6/19,39,Name; Social Security Number; Other
3/15/19,flexPath Strategies LLC,12/7/18,1398,Name; Social Security Number
3/12/19,ABM Industries Incorporated,1/8/18,846,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information
3/7/19,Columbia Surgical Specialists,1/9/19,131260,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
2/22/19,Seattle Housing Authority,1/7/19,720,Name; Financial & Banking Information
2/20/19,University of Washington Medical Center,12/4/18,894272,Name; Medical Information
2/14/19,North 40 Outfitters,2/2/18,2632,Name; Financial & Banking Information; Username and Password/Security Question Answers
2/12/19,Stanwich Mortgage Loan Trust,2/1/18,702,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
1/30/19,Image-I-Nation Technologies Inc.,11/1/18,3695,Name; Social Security Number; Full Date of Birth
1/18/19,"Pharmaca Integrative Pharmacy, LLC",7/19/18,Unknown,Name; Financial & Banking Information
1/11/19,Caroline Kline Galland Home,12/23/18,9,Name; Social Security Number; Full Date of Birth; Medical Information; Other
1/9/19,A&A Global Imports Inc.,8/15/17,2783,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
1/3/19,Chaplaincy Health Care,11/20/18,1086,Name; Full Date of Birth; Medical Information; Other
12/31/18,Aimbridge Hospitality Holdings LLC,6/7/18,647,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
12/26/18,Bel USA LLC,8/5/18,1553,Name; Financial & Banking Information
12/20/18,JAND Inc. d/b/a Warby Parker,9/25/18,951,Name; Other
12/7/18,Titan Manufacturing and Distributing Inc.,,1838,Name; Financial & Banking Information; Other
12/5/18,San Diego Hardware,2/5/18,604,Name; Financial & Banking Information; Other
11/30/18,"Marriott International, Inc.",,Unknown,Name; Full Date of Birth; Passport Number; Other
11/30/18,Ontario Inc.,8/15/14,540,Name; Financial & Banking Information
11/27/18,Washington State Patrol,10/14/18,1171,Name; Social Security Number; Driver's License or Washington ID Card Number
11/27/18,Atrium Health,9/22/18,172,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/27/18,Burgerville LLC,8/1/17,Unknown,Name; Financial & Banking Information
11/21/18,British Airways PLC,8/21/18,1588,Name; Financial & Banking Information; Other
11/19/18,Francesca's Services Corporation,12/28/17,1148,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
11/16/18,LPL Financial LLC,11/1/18,8127,Name; Social Security Number; Other
11/16/18,Washington State Employees Credit Union,10/1/18,2560,Name; Financial & Banking Information
11/15/18,Newegg Inc.,8/13/18,5931,Name; Financial & Banking Information; Other
11/15/18,HealthEquity Inc.,9/4/18,27175,Name; Social Security Number; Other
11/13/18,Stein Mart Inc.,12/28/17,680,Name; Financial & Banking Information; Other
11/13/18,"Pharmacy Times Office of Continuing Professional Education, LLC",5/11/18,797,Name; Social Security Number
11/12/18,Collier Heggerness & Bronk CPA's PS Inc.,,2194,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
11/12/18,"Title Nine Sports, Inc.",12/28/17,4837,Name; Financial & Banking Information; Other
11/9/18,Thesy LLC,12/6/17,5907,Name; Financial & Banking Information
11/7/18,"Unified Trust Company, N.A.",12/6/17,1196,Name; Social Security Number; Financial & Banking Information; Other
11/6/18,"Southwest Washington Regional Surgery Center, LLC",5/27/18,1690,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/5/18,Nordstrom Inc.,10/9/18,13442,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/25/18,GS1 US Inc.,7/7/17,2384,Name; Financial & Banking Information; Other
10/25/18,Bankers Life,5/30/18,226,Name; Full Date of Birth; Other
10/25/18,Caroline Kline Galland Home,1/1/15,203,Name; Social Security Number; Other
10/22/18,Challenger Sports Inc.,8/26/18,516,Name; Financial & Banking Information; Other
10/18/18,Renaissance Philanthropic Solutions Group,6/5/18,609,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
10/11/18,SHEIN,6/1/18,Unknown,Email Address and Password/Security Question Answers
10/5/18,Rebound Orthopedics & Neurosurgery,5/22/18,1607,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information
10/2/18,Zenith American Solutions,8/13/18,30,Name; Social Security Number; Full Date of Birth; Other
9/12/18,Skagit Bancorp Inc.,,519,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Other
9/11/18,Peaceful Valley Farm Supply,2/9/18,1224,Name; Other
8/29/18,LILLEbaby,6/1/16,1557,Name; Financial & Banking Information
8/22/18,Cheddar's Scratch Kitchen,11/3/17,Unknown,Name; Financial & Banking Information
8/3/18,Colorado Bankers Life Insurance Company,3/28/18,956,Name; Social Security Number; Financial & Banking Information
7/27/18,Yale University,4/1/08,1742,Name; Social Security Number; Full Date of Birth; Other
7/25/18,"TradeMotion, LLC",10/1/17,195,Name; Financial & Banking Information; Other
7/13/18,"ComplyRight, Inc.",4/20/18,29322,Name; Social Security Number; Other
7/12/18,Overlake Arthritis and Osteoporosis Center,5/11/18,627,Name; Social Security Number; Medical Information; Other
7/6/18,International Mission Board,,992,Name; Social Security Number; Full Date of Birth; Medical Information; Other
7/6/18,"Coty, Inc.",1/12/18,44,Unknown
7/1/18,"Macy's, Inc.",4/26/18,3564,Name; Financial & Banking Information; Other
6/29/18,Northwest University,,1434,Name; Social Security Number; Medical Information; Other
6/23/18,"Terteling Company, Inc.",5/1/18,941,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information; Other
6/1/18,Transamerica Retirement Solutions,,335,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
5/18/18,Brinker International (Chilis),3/1/18,Unknown,Name; Financial & Banking Information
5/17/18,Corporation Service Company,11/25/17,4631,Name; Social Security Number
5/9/18,H&R Block,,2655,Name; Social Security Number; Financial & Banking Information; Other
5/9/18,"TaskRabbit, Inc.",,77618,Name; Social Security Number; Financial & Banking Information; Username and Password/Security Question Answers
5/8/18,Global University,12/31/17,5679,Name; Social Security Number
5/3/18,Alaska Airlines,10/1/17,1442,Name; Financial & Banking Information; Full Date of Birth; Other
5/2/18,"SunTrust Banks, Inc",,272,Name; Financial & Banking Information; Other
4/30/18,Rail Europe North America,11/29/17,687,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
4/26/18,Hudson's Bay Company,7/1/17,Unknown,Name; Financial & Banking Information
4/24/18,Sears Holdings,9/27/17,2373,Name; Financial & Banking Information; Other
4/20/18,Southwest Airlines,10/1/17,555,Name; Other
4/13/18,Inogen Inc.,,518,Name; Health Insurance Policy or ID Number; Medical Information; Other
4/13/18,"Best Buy Co, Inc.",9/26/17,8390,Name; Financial & Banking Information; Other
4/11/18,Delta Airlines,9/26/17,24563,Name; Financial & Banking Information; Other
3/27/18,Manduka,2/25/18,1634,Name; Financial & Banking Information
3/22/18,American Express Travel Related Services Company,1/1/16,6627,Name; Full Date of Birth; Other
3/20/18,Orbitz,10/1/17,5013,Name; Financial & Banking Information; Other
3/19/18,"Bronson Nutritionals, LLC",5/15/17,774,Name; Financial & Banking Information; Other
3/15/18,"Parker Staffing Services, LLC",,Unknown,Name; Social Security Number; Other
3/8/18,ABM Industries Incorporated,,1100,Name; Social Security Number; Financial & Banking Information; Medical Information; Other
3/2/18,Preferred Hotels & Resorts,6/1/16,21687,Name; Financial & Banking Information
2/27/18,FastHealth Corporation,8/14/17,2876,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
2/23/18,North 40 Outfitters,1/20/17,2671,Name; Financial & Banking Information; Username and Password/Security Question Answers
2/5/18,"PAR Electrical Contractors, Inc.",12/22/17,768,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Medical Information; Other
2/1/18,North Beach School District,1/30/18,Unknown,Name; Social Security Number; Other
1/25/18,Zachary E. Adkins DDS,11/30/17,Unknown,Name; Social Security Number; Medical Information; Other
1/23/18,"Insight Sourcing Group Holdings, LLC",11/30/17,1,Name; Social Security Number; Full Date of Birth; Other
1/12/18,"Guarenteed Rate, Inc.",6/9/17,2545,Name; Social Security Number; Financial & Banking Information
1/11/18,"Deli Management, Inc. (Jason's Deli)",6/8/17,Unknown,Name; Financial & Banking Information
1/10/18,"talentReef, Inc.",,604,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
1/2/18,Multnomah Athletic Club,12/2/17,661,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Other
12/28/17,"Forever 21, Inc.",4/3/17,Unknown,Unknown
12/22/17,"LiveGlam, Inc.",4/25/17,600,Name; Financial & Banking Information; Other
12/22/17,"TIO Networks USA, Inc.",,1962,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Username and Password/Security Question Answers; Other
12/11/17,"Combat Brands, LLC",7/1/15,956,Name; Financial & Banking Information
12/1/17,JAM Paper & Envelope,6/15/16,590,Name; Financial & Banking Information; Other
11/27/17,"Bulletproof 360, Inc.",10/26/16,4077,Name; Financial & Banking Information; Other
11/21/17,"Uber Technologies, Inc.",10/13/16,10888,Name; Driver's License or Washington ID Card Number
11/17/17,"The Medical College of Wisconsin, Inc.",7/21/17,6,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/15/17,Western State Hospital,9/20/17,515,Name; Medical Information
11/13/17,Gallagher NAC,6/18/17,579,Financial & Banking Information
11/3/17,"Tween Brands, Inc.",9/7/17,2477,Name; Social Security Number
10/30/17,HumanGood,9/27/17,642,Name; Medical Information; Other
10/20/17,"Whole Foods Market Services, Inc.",3/10/17,Unknown,Name; Financial & Banking Information
10/16/17,Capital One Merchants (Spark Pay Online),3/10/17,1352,Name; Financial & Banking Information; Other
10/16/17,"Pizza Hut, LLC",10/1/17,1896,Name; Financial & Banking Information; Other
10/12/17,Hyatt Hotels Corporation,3/18/17,640,Name; Financial & Banking Information
10/6/17,"Provo Craft & Novelty, Inc.",5/27/17,773,Name; Financial & Banking Information; Other
10/6/17,"Provo Craft & Novelty, Inc.",5/27/17,773,Name; Financial & Banking Information; Other
10/6/17,Tommie Copper Inc.,4/25/17,695,Name; Financial & Banking Information
10/4/17,SONIC Corp.,,Unknown,Other
10/3/17,"FlexShopper, LLC",,2396,Name; Social Security Number; Financial & Banking Information; Email Address and Password/Security Question Answers; Other
9/29/17,BSI Financial Services,6/1/17,580,Unknown
9/29/17,The Online Traffic School,,2404,Unknown
9/18/17,"W.W. Grainger, Inc.",8/23/17,725,Name; Social Security Number; Other
9/16/17,Whatcom Land Title Co.,,433,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number; Other
9/7/17,"Equifax, Inc.",5/16/17,3243664,Unknown
8/31/17,Timberland Bank,,5688,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Other
8/24/17,Green River Community College,12/1/16,3399,Name; Social Security Number
8/14/17,TRUEbenefits LLC,,12327,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
8/3/17,Silver Cloud Inns & Hotels,8/10/16,1382,Name; Financial & Banking Information
7/28/17,Noble House Hotels & Resorts,8/10/16,523,Name; Financial & Banking Information; Other
7/26/17,Al J. Schneider Company (Galt House Hotel),12/21/16,791,Name; Financial & Banking Information
7/26/17,Steel Technologies LLC (Hydro Flask Brand),,1780,Name; Financial & Banking Information; Other
7/25/17,City of Port Angeles,,9400,Other
7/24/17,Avanti Markets Inc.,7/4/17,1663,Financial & Banking Information
7/21/17,Value Eyecare Network,,2696,Name; Financial & Banking Information; Other
7/18/17,"Keller Williams Realty, Inc.",5/6/17,9425,Name; Social Security Number; Username and Password/Security Question Answers; Other
7/14/17,SBE ENT Holdings,8/10/16,Unknown,Unknown
7/14/17,"Two Roads Hospitality, LLC",8/10/16,5401,Name; Financial & Banking Information; Other
7/12/17,Club Quarters Hotels,8/10/16,113,Name; Financial & Banking Information; Other
